iter	Passed	Remaining
0	16	1622
1	49	2428
2	82	2655
3	93	2236
4	124	2362
5	156	2453
6	172	2295
7	178	2052
8	210	2128
9	243	2192
10	275	2228
11	306	2250
12	338	2267
13	354	2178
14	387	2193
15	398	2090
16	432	2112
17	468	2132
18	484	2066
19	517	2068
20	549	2068
21	576	2042
22	608	2035
23	639	2026
24	665	1997
25	697	1985
26	729	1971
27	763	1962
28	795	1948
29	831	1939
30	865	1926
31	904	1921
32	937	1903
33	969	1882
34	1001	1859
35	1032	1835
36	1048	1784
37	1080	1762
38	1111	1738
39	1143	1715
40	1165	1677
41	1176	1624
42	1196	1586
43	1212	1543
44	1245	1522
45	1278	1500
46	1313	1481
47	1359	1473
48	1370	1426
49	1404	1404
50	1421	1366
51	1455	1343
52	1487	1318
53	1519	1294
54	1552	1270
55	1586	1246
56	1617	1220
57	1628	1178
58	1659	1153
59	1691	1127
60	1707	1091
61	1741	1067
62	1774	1042
63	1800	1012
64	1832	986
65	1842	949
66	1853	912
67	1879	884
68	1900	853
69	1932	828
70	1948	795
71	1953	759
72	1985	734
73	2017	708
74	2049	683
75	2080	657
76	2112	631
77	2144	604
78	2181	579
79	2208	552
80	2239	525
81	2271	498
