iter	Logloss
0	0.6921657717
1	0.6901096148
2	0.6881899859
3	0.6871377078
4	0.6849384666
5	0.6835656783
6	0.6826958885
7	0.6824511257
8	0.6812275458
9	0.6799889427
10	0.6786477151
11	0.6773658893
12	0.6760775025
13	0.6754684544
14	0.6740658637
15	0.6734722571
16	0.6718113197
17	0.6709155945
18	0.6705719173
19	0.669778017
20	0.6689857359
21	0.6684858347
22	0.6673637778
23	0.6663492381
24	0.6657334818
25	0.6650678014
26	0.6639086719
27	0.6623057813
28	0.6617200257
29	0.6603790376
30	0.6598671756
31	0.659205586
32	0.6582411106
33	0.6568389688
34	0.655808979
35	0.6550620967
36	0.6547712913
37	0.6542971681
38	0.6538208649
39	0.6533310672
40	0.6531363682
41	0.6530428926
42	0.6527379311
43	0.6527019149
44	0.6517363514
45	0.650520287
46	0.649451507
47	0.6477627015
48	0.647739744
49	0.6469224117
50	0.6468605147
51	0.6456306296
52	0.6447602253
53	0.6444528071
54	0.6436760491
55	0.6429177971
56	0.6423097858
57	0.6422901242
58	0.6417715994
59	0.6413594933
60	0.6412170067
61	0.6406377928
62	0.6401154066
63	0.6396981102
64	0.639070678
65	0.6390527016
66	0.6389923875
67	0.6387573984
68	0.6381738819
69	0.6372070626
70	0.6371622598
71	0.637161963
72	0.6364755814
73	0.6360965481
74	0.6356165327
75	0.6351181093
76	0.6339002666
77	0.6332497746
78	0.6327921611
79	0.632361656
80	0.6311115626
81	0.630014558
