iter	Passed	Remaining
0	16	1607
1	49	2443
2	83	2686
3	94	2258
4	125	2387
5	159	2494
6	174	2322
7	180	2073
8	212	2144
9	243	2189
10	274	2224
11	307	2255
12	340	2277
13	356	2191
14	395	2243
15	409	2149
16	445	2175
17	480	2189
18	496	2118
19	527	2111
20	559	2104
21	585	2075
22	616	2064
23	649	2055
24	679	2038
25	720	2049
26	753	2035
27	783	2014
28	815	1996
29	847	1978
30	880	1959
31	919	1954
32	961	1951
33	995	1932
34	1028	1910
35	1061	1887
36	1078	1836
37	1111	1812
38	1145	1791
39	1177	1766
40	1198	1725
41	1210	1671
42	1231	1632
43	1247	1588
44	1282	1567
45	1318	1547
46	1356	1530
47	1395	1511
48	1407	1464
49	1441	1441
50	1457	1400
51	1489	1374
52	1521	1349
53	1552	1322
54	1584	1296
55	1617	1270
56	1650	1245
57	1661	1203
58	1693	1177
59	1726	1150
60	1742	1114
61	1777	1089
62	1815	1066
63	1845	1038
64	1880	1012
65	1901	979
66	1912	941
67	1939	912
68	1961	881
69	1993	854
70	2009	820
71	2015	783
72	2047	757
73	2079	730
74	2111	703
75	2145	677
76	2179	650
77	2211	623
78	2246	597
79	2273	568
80	2304	540
81	2336	512
